Tube,isInflow,duration[s],difference[mm],rate[mm/s],duty
1,True,60.78794002532959,468.1,7.700540597443316,10
1,False,63.69186782836914,-491.20000000000005,-7.7121305552482715,10
1,True,63.23614192008972,482.70000000000005,7.633293008450431,10
1,False,67.75677800178528,-514.1999999999999,-7.588908669571797,10
1,True,66.56986594200134,521.3,7.8308705091006185,10
1,False,64.74049305915833,-488.29999999999995,-7.5424201597260465,10
1,True,62.557222843170166,481.14,7.691198204341797,10
1,False,63.79427886009216,-484.0,-7.5868872357890424,10
1,True,64.66557908058167,496.6,7.679510599930951,10
1,False,67.67525506019592,-504.6,-7.456196501234719,10
2,True,53.6781268119812,430.0,8.010711728189852,10
2,False,57.66674208641052,-455.29999999999995,-7.8953653965357935,10
2,True,54.71831917762756,460.6,8.417656224139346,10
2,False,59.567651987075806,-452.70000000000005,-7.599762369317845,10
2,True,56.47888994216919,489.79999999999995,8.672266761997697,10
2,False,60.95850992202759,-495.1,-8.121917688494774,10
2,True,55.60313081741333,465.29999999999995,8.368233823522058,10
2,False,59.605167865753174,-472.1,-7.920454163694259,10
2,True,58.76457500457764,509.20000000000005,8.665084363501895,10
2,False,59.73065757751465,-479.9,-8.03440007967795,10
1,True,59.43739080429077,513.2,8.634295568084598,20
1,False,55.65681791305542,-478.4,-8.595532729652906,20
1,True,60.42661809921265,499.79999999999995,8.271189348697181,20
1,False,58.10726976394653,-520.1,-8.950687273947663,20
